,2013_Score,5_Year_GDP_Growth_Rate_(%),Business_Freedom,CountryID,Country_Name,FDI_Inflow_(Millions),Financial_Freedom,Fiscal_Freedom_,Freedom_from_Corruption,GDP_(Billions_PPP),GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Govt_Spending,Inflation_(%),Investment_Freedom_,Labor_Freedom,Monetary_Freedom,Population_(Millions),Property_Rights,Public_Debt_(%_of_GDP),Region,Region_Rank,Trade_Freedom,Unemployment_(%),World_Rank
18,39.2,6.3,20.0,25,Burma,850.0,10,81.9,15,82.7,5.5,1325,96.8,4.2,0,20.0,65.1,62.4,10,44.3,Asia-Pacific,40,73.6,5.5,172
74,50.1,7.9,62.1,91,Laos,450.0,20,79.7,22,17.4,8.3,2659,85.8,8.7,30,54.7,73.0,6.6,15,57.4,Asia-Pacific,33,58.7,2.5,144
140,51.0,6.5,63.8,180,Vietnam,7430.0,30,75.6,29,300,5.9,3359,72.4,18.7,15,65.5,65.3,89.3,15,38,Asia-Pacific,30,78.6,2.3,140
84,66.1,4.3,79.9,104,Malaysia,11966.0,50,85.1,43,447.3,5.1,15568,73.5,3.2,45,72.3,79.8,28.7,55,52.6,Asia-Pacific,9,77.0,3.1,56
80,71.7,0.0,60.0,100,Macau,4365.0,70,73.5,51,28.7,26.4,48923,91.5,5.8,85,55.0,81.3,0.5700000000000001,60,0,Asia-Pacific,7,90.0,2.9,26
9,52.6,6.1,68.0,12,Bangladesh,1136.4,20,72.7,27,282.2,6.1,1693,92.1,10.7,55,51.9,65.4,166.7,20,42.9,Asia-Pacific,28,54.0,5,132
12,55.0,9.1,60.5,18,Bhutan,13.9,30,82.7,57,4.3,5.9,6112,38.8,8.6,20,84.4,67.3,0.7000000000000001,60,82,Asia-Pacific,25,49.5,4,122
131,42.6,11.1,30.0,170,Turkmenistan,3186.0,10,94.0,16,43.4,14.7,7846,91.7,5.8,0,30.0,70.6,5.5,5,15.4,Asia-Pacific,39,79.2,N/A,169
73,59.6,4.8,73.2,90,Kyrgyz Republic,693.5,50,94.8,21,13.1,5.7,2372,56.4,16.6,50,88.6,66.7,5.5,20,52.4,Asia-Pacific,15,75.4,8.6,89
126,64.1,2.6,73.2,163,Thailand,9572.0,70,78.9,34,602.1,0.1,9396,83.7,3.8,40,72.9,68.3,64.1,45,41.7,Asia-Pacific,10,75.2,0.7,61
20,58.5,5.8,39.4,27,Cambodia,891.7,50,90.9,21,33.5,6.1,2216,88.4,5.5,60,54.2,81.3,15.1,30,28.6,Asia-Pacific,16,70.2,3.5,95
124,53.4,6.6,61.7,161,Tajikistan,11.1,40,92.8,23,16.2,7.4,2067,78.1,12.4,20,55.5,64.6,7.8,20,35.3,Asia-Pacific,27,78.2,2.2,131
123,72.7,3.8,94.3,160,Taiwan,-1962.0,50,80.5,61,876,4,37720,84.9,1.4,65,53.3,82.9,23.2,70,40.8,Asia-Pacific,5,85.0,4.4,20
120,60.7,6.5,77.0,153,Sri Lanka,300.0,40,84.7,33,116.5,8.2,5674,86.5,6.7,40,60.8,69.1,20.5,40,78.5,Asia-Pacific,13,76.2,4.2,81
26,51.9,10.5,48.0,34,China,123985.0,30,70.2,36,11300,9.2,8382,83.3,5.4,25,62.6,71.6,1348.1,20,25.8,Asia-Pacific,29,72.0,6.5,136
115,88.0,5.7,97.1,147,Singapore,64003.2,80,91.1,92,314.9,4.9,59711,91.3,5.2,75,91.4,82.0,5.3,90,100.8,Asia-Pacific,2,90.0,2,2
138,46.0,8.7,71.2,177,Uzbekistan,1403.0,10,90.2,16,95.2,8.3,3302,67.8,12.8,0,61.0,63.0,28.8,15,9.1,Asia-Pacific,35,66.1,1,162
106,58.2,4.6,53.1,131,Philippines,1262.0,50,79.3,26,390.4,3.7,4073,90.2,4.8,50,51.0,76.6,95.9,30,40.5,Asia-Pacific,17,75.5,7,97
103,53.6,7.3,58.3,128,Papua New Guinea,-309.2,30,67.4,22,16.9,8.9,2532,72.3,8.4,35,73.4,72.4,6.7,20,25.2,Asia-Pacific,26,85.0,1.9,130
101,55.1,3.7,70.7,126,Pakistan,1327.0,40,80.5,25,488.6,2.4,2787,89.0,13.7,35,47.9,67.0,175.3,30,60.1,Asia-Pacific,24,66.0,5.6,121
95,81.4,0.7000000000000001,99.9,120,New Zealand,3369.2,80,71.5,95,122.2,1.4,27668,33.2,4,80,89.5,83.3,4.4,95,37,Asia-Pacific,4,86.8,6.6,4
93,50.4,4.4,57.2,118,Nepal,95.5,30,85.8,22,37.8,3.5,1328,89.2,9.6,10,44.3,75.1,28.5,30,34.1,Asia-Pacific,31,60.8,46,141
56,89.3,3.6,98.9,71,Hong Kong,83155.6,90,92.9,84,351.1,5,49137,88.9,5.3,90,86.2,82.1,7.1,90,33.9,Asia-Pacific,1,90.0,3.4,1
59,55.2,8.1,37.3,74,India,31554.0,40,78.3,31,4457.8,7.2,3694,77.9,8.6,35,73.6,65.3,1206.9,50,68.1,Asia-Pacific,23,63.6,9.8,119
60,56.9,5.9,50.2,75,Indonesia,18906.0,50,83.4,30,1124.6,6.5,4666,89.2,5.4,35,50.8,75.5,241.0,30,25,Asia-Pacific,20,75.0,6.6,108
5,82.6,2.6,95.5,7,Australia,41316.7,90,66.4,88,914.5,2,40234,62.8,3.4,80,83.5,83.8,22.7,90,22.9,Asia-Pacific,3,86.2,5.1,3
88,61.7,8.1,70.4,113,Mongolia,4714.6,60,82.5,27,13.3,17.3,4744,62.6,9.5,50,79.2,75.6,2.8,30,41.3,Asia-Pacific,12,79.8,9.9,75
66,71.8,-0.2,81.3,82,Japan,-1758.3,50,69.2,80,4440.4,-0.7000000000000001,34740,45.0,-0.30000000000000004,60,80.3,90.6,127.8,80,229.8,Asia-Pacific,6,81.8,4.2,24
68,63.0,5.6,71.8,84,Kazakhstan,12910.5,50,93.2,27,216.8,7.5,13001,84.5,8.3,30,88.4,72.2,16.7,35,10.9,Asia-Pacific,11,78.2,5.4,68
70,1.5,0.0,0.0,87,North Korea,55.0,0,0.0,10,N/A,N/A,N/A,0.0,N/A,0,0.0,0.0,24.5,5,N/A,Asia-Pacific,41,0.0,N/A,177
71,70.3,3.5,93.6,88,South Korea,4660.9,70,73.0,54,1554.1,3.6,31714,72.8,4,70,48.7,77.9,49.0,70,34.1,Asia-Pacific,8,72.6,3.4,34
7,59.7,9.7,69.2,9,Azerbaijan,1465.0,40,85.5,24,93.1,0.1,10202,67.8,7.9,55,79.4,73.5,9.1,25,10.2,Asia-Pacific,14,77.2,1,88
31,61.3,-0.1,63.0,41,Croatia,1494.1,60,75.4,40,80.3,0,18192,48.7,2.3,75,42.4,81.1,4.4,40,45.6,Europe,35,87.5,17.7,78
33,69.0,1.7000000000000002,80.7,43,Cyprus,276.3,60,79.8,63,23.7,0.5,29074,32.7,3.5,75,62.8,84.1,0.8,70,71.8,Europe,19,81.8,5.6,41
34,70.9,1.6,65.8,44,Czech Republic,5404.5,80,82.0,44,285,1.7000000000000002,27062,43.5,1.9,70,85.5,81.7,10.5,70,41.5,Europe,15,86.8,6.7,29
35,76.1,-0.6000000000000001,98.4,45,Denmark,14770.8,90,39.8,94,206.6,1.1,37152,5.9,2.8,85,91.1,80.0,5.6,90,46.4,Europe,2,86.8,8,9
110,51.1,2.8,69.2,136,Russia,52878.0,30,86.9,24,2383.4,4.3,16736,54.4,8.4,25,52.6,66.7,142.4,25,9.6,Europe,41,77.4,6.6,139
109,65.1,1.4,70.4,135,Romania,2670.4,50,87.9,36,267.2,2.5,12476,62.2,5.8,80,63.5,74.7,21.4,40,33,Europe,28,86.8,5.1,59
57,67.3,-0.6000000000000001,79.1,72,Hungary,4697.6,70,79.7,46,195.6,1.7000000000000002,19591,29.7,3.9,75,64.4,77.1,10.0,65,80.4,Europe,24,86.8,10.7,48
108,63.1,-0.1,82.8,133,Portugal,10344.0,60,61.6,61,249,-1.5,23361,28.3,3.6,70,31.0,79.4,10.7,70,106.8,Europe,31,86.8,15.9,67
107,66.0,4.3,64.0,132,Poland,15138.8,70,76.0,55,771.7,4.4,20334,43.0,4.3,65,62.9,77.7,37.9,60,55.4,Europe,26,86.8,10.1,57
41,75.3,-0.5,78.2,54,Estonia,257.1,80,79.7,64,27.3,7.6,20380,56.2,5.1,90,56.0,77.1,1.3,85,6,Europe,4,86.8,10.1,13
58,72.1,-0.2,91.5,73,Iceland,1013.2,60,72.7,83,12.4,3.1,38061,36.2,4,65,58.9,75.8,0.30000000000000004,90,99.2,Europe,13,87.8,6.7,23
75,66.5,-1.7000000000000002,75.7,92,Latvia,1562.1,50,84.4,42,34.9,5.5,15662,53.6,4.2,80,64.4,78.3,2.2,50,37.8,Europe,25,86.8,15.4,55
43,74.0,0.7000000000000001,94.8,57,Finland,53.8,80,66.9,94,195.7,2.9,36236,12.2,3.3,90,45.3,79.5,5.4,90,48.6,Europe,7,86.8,7.9,16
44,64.1,0.5,84.0,58,France,40945.0,70,53.0,70,2217.9,1.7000000000000002,35156,5.6,2.3,65,50.5,81.1,63.1,80,86.3,Europe,30,81.8,10.6,62
78,72.1,0.7000000000000001,77.6,98,Lithuania,1217.1,80,92.8,48,61.6,5.9,18856,53.6,4.1,80,64.1,78.3,3.3,60,39,Europe,12,86.8,15.4,22
79,74.2,1.1,74.8,99,Luxembourg,17530.1,80,65.0,85,41.2,1,80119,47.1,3.4,95,39.0,79.3,0.5,90,20.8,Europe,6,86.8,5.2,15
64,60.6,-0.6000000000000001,76.9,80,Italy,29059.4,60,55.5,39,1847,0.4,30464,25.3,2.9,80,52.0,80.2,60.6,50,120.1,Europe,36,86.8,10.7,83
81,68.2,3.0,80.3,101,Macedonia,421.9,60,91.4,39,21.3,3,10367,69.1,3.9,60,78.4,84.0,2.1,35,28.1,Europe,21,84.6,31.4,43
46,72.2,4.7,90.6,61,Georgia,974.6,60,88.2,41,24.5,7,5491,68.9,8.5,75,91.1,72.6,4.5,45,33.9,Europe,11,89.2,16.3,21
10,48.0,6.4,75.2,14,Belarus,3985.8,10,88.8,24,141.8,5.3,15028,43.5,53.2,20,76.9,40.7,9.4,20,50.2,Europe,42,80.8,N/A,154
11,69.2,1.0,91.6,15,Belgium,89142.4,70,45.0,75,413.3,1.9,37737,14.5,3.5,80,69.8,79.3,11.0,80,98.5,Europe,18,86.8,7.4,40
47,72.8,1.1,92.1,62,Germany,40402.1,70,61.8,80,3099.1,3.1,37897,37.3,2.5,85,43.8,81.2,81.8,90,81.5,Europe,10,86.8,5.5,19
135,74.8,0.1,94.1,174,United Kingdom,53949.3,80,57.0,78,2260.8,0.7000000000000001,36090,27.7,4.5,90,71.6,72.4,62.6,90,82.5,Europe,5,86.8,8,14
133,46.3,0.6000000000000001,47.6,172,Ukraine,7207.0,30,78.2,23,329.5,5.2,7233,29.4,8,20,49.9,71.0,45.6,30,36.5,Europe,43,84.4,8.4,161
6,71.8,1.3,73.6,8,Austria,14127.9,70,51.1,78,352,3.1,41822,23.5,3.6,85,80.4,79.3,8.4,90,72.2,Europe,14,86.8,4.5,25
16,65.0,1.7000000000000002,73.6,23,Bulgaria,1864.5,60,94.0,33,101,1.7000000000000002,13597,64.2,3.4,55,74.8,78.6,7.4,30,17,Europe,29,86.8,9.6,60
130,62.9,3.5,68.2,169,Turkey,15876.0,60,77.0,42,1073.6,8.5,14517,64.9,6.5,65,43.1,73.3,74.0,50,39.4,Europe,32,85.2,11.7,69
49,55.4,-2.2,77.1,64,Greece,1822.9,50,66.2,34,294.3,-6.9,26294,24.7,3.1,65,42.1,73.4,11.2,40,160.8,Europe,40,81.8,24.4,117
99,70.5,0.7000000000000001,92.6,124,Norway,3568.8,60,51.0,90,265.9,1.7000000000000002,53471,40.3,1.3,70,44.7,76.9,5.0,90,49.6,Europe,16,89.3,3,31
4,69.4,2.2,87.6,6,Armenia,524.6,70,88.0,26,17.9,4.4,5384,82.1,7.7,75,77.1,73.0,3.3,30,35.1,Europe,17,85.4,5.9,38
94,73.5,1.0,83.0,119,Netherlands,17129.4,80,52.1,89,704,1.3,42183,24.7,2.5,90,58.6,81.1,16.7,90,66.2,Europe,8,86.8,5.3,17
62,75.7,-1.0,83.4,78,Ireland,13102.0,70,73.8,75,181.6,0.7000000000000001,39639,28.8,1.1,90,76.6,82.8,4.6,90,105,Europe,3,86.8,15,11
122,81.0,1.7000000000000002,75.8,158,Switzerland,-196.5,80,68.1,88,339.9,1.9,43370,63.8,0.2,80,87.9,86.2,7.8,90,48.6,Europe,1,90.0,4.2,5
121,72.9,1.5,93.2,157,Sweden,12090.6,80,39.6,93,381.7,4,40394,21.0,1.4,90,53.6,82.1,9.5,90,37.4,Europe,9,86.8,7.8,18
0,65.2,4.4,81.0,2,Albania,1031.4,70,92.6,31,24.9,2,7741,75.1,3.4,65,49.0,78.4,3.2,30,58.9,Europe,27,79.8,13.5,58
89,62.6,3.2,72.7,114,Montenegro,558.1,50,92.4,40,7.2,2.5,11545,41.5,3.1,55,71.4,79.9,0.6000000000000001,40,45.8,Europe,33,83.0,11.5,70
119,68.0,0.2,80.3,152,Spain,29476.3,70,53.9,62,1413.5,0.7000000000000001,30626,43.0,3.1,80,54.3,79.9,46.2,70,68.5,Europe,22,86.8,25.1,46
117,61.7,0.6000000000000001,80.7,149,Slovenia,999.2,50,65.7,59,57.9,-0.2,28642,22.3,1.8,70,40.4,81.6,2.0,60,47.3,Europe,34,86.8,8.4,76
116,68.7,3.6,71.0,148,Slovakia,2142.9,70,84.7,40,126.9,3.3,23304,58.0,4.1,75,72.2,79.1,5.4,50,44.6,Europe,20,86.8,14.4,42
87,55.5,3.5,69.7,112,Moldova,274.0,50,87.2,29,12,6.4,3373,50.1,7.7,35,40.9,73.4,3.6,40,23.4,Europe,39,80.0,6.7,115
114,58.6,1.7000000000000002,60.2,144,Serbia,2709.3,50,84.2,33,78.9,1.8,10642,40.3,11.2,65,70.4,65.3,7.4,40,47.9,Europe,37,77.9,23.4,94
90,59.6,4.2,76.4,115,Morocco,2519.1,60,71.4,34,162.6,4.3,5052,64.3,0.9,70,30.1,78.9,32.2,40,54.4,Middle East / North Africa,9,70.8,8.9,90
1,49.6,2.7,65.2,3,Algeria,2571.0,30,80.4,29,263.7,2.5,7333,44.1,4.5,20,52.6,76.6,36.0,30,9.9,Middle East / North Africa,14,67.8,10,145
8,75.5,4.8,75.8,11,Bahrain,780.9,80,99.9,51,31.1,1.8,27556,72.4,1,75,90.4,72.5,1.1,55,36.5,Middle East / North Africa,1,82.8,4,12
38,54.8,5.1,63.3,50,Egypt,-482.7,40,85.6,29,519,1.8,6540,69.4,11.1,50,43.3,58.4,79.4,35,76.4,Middle East / North Africa,13,73.8,12.2,125
61,43.2,3.7,65.3,76,Iran,4150.0,10,80.8,27,990.2,2,13053,80.5,21.3,0,55.0,58.0,75.9,10,12.7,Middle East / North Africa,15,45.7,15.3,168
63,66.9,4.0,66.1,79,Israel,11374.1,70,60.2,58,235.2,4.7,30975,39.3,3.5,80,63.7,78.6,7.6,70,74.3,Middle East / North Africa,6,83.0,6.9,51
67,70.4,5.1,69.2,83,Jordan,1469.0,60,93.6,45,36.9,2.5,5900,68.8,4.4,70,75.5,82.0,6.3,60,69.8,Middle East / North Africa,4,79.6,12.3,33
72,63.1,3.1,57.7,89,Kuwait,398.6,50,99.9,46,153.5,8.2,41691,61.5,4.7,55,62.8,71.6,3.7,50,7.3,Middle East / North Africa,7,76.8,N/A,66
76,59.5,6.7,50.3,93,Lebanon,3200.0,60,90.8,25,61.4,1.5,15523,74.6,5,60,57.2,76.5,4.0,20,136.2,Middle East / North Africa,10,80.4,N/A,91
100,68.1,5.7,68.1,125,Oman,788.0,60,98.5,48,81.8,5.5,26519,69.1,4,55,80.9,72.7,3.1,50,5.1,Middle East / North Africa,5,78.7,N/A,45
