CountryID,Country_Name,Region,RegionID,Income_Tax_Rate,Corporate_Tax_Rate,5_Year_GDP_Growth_Rate_(%),FDI_Inflow_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Inflation_(%),Population_(Millions),Public_Debt_(%_of_GDP),Unemployment_(%)
1,Afghanistan,Asia-Pacific,1,20,20,10.3,83.4,29.7,5.7,956,11.2,31.1,12.1,9999.0
7,Australia,Asia-Pacific,1,45,30,2.6,41316.7,914.5,2.0,40234,3.4,22.7,22.9,5.1
9,Azerbaijan,Asia-Pacific,1,30,20,9.7,1465,93.1,0.1,10202,7.9,9.1,10.2,1.0
12,Bangladesh,Asia-Pacific,1,25,45,6.1,1136.4,282.2,6.1,1693,10.7,166.7,42.9,5.0
18,Bhutan,Asia-Pacific,1,25,30,9.1,13.9,4.3,5.9,6112,8.6,0.7,82,4.0
25,Burma,Asia-Pacific,1,30,30,6.3,850,82.7,5.5,1325,4.2,62.4,44.3,5.5
27,Cambodia,Asia-Pacific,1,20,20,5.8,891.7,33.5,6.1,2216,5.5,15.1,28.6,3.5
34,China,Asia-Pacific,1,45,25,10.5,123985,11300,9.2,8382,5.4,1348.1,25.8,6.5
71,Hong Kong,Asia-Pacific,1,15,16.5,3.6,83155.6,351.1,5.0,49137,5.3,7.1,33.9,3.4
74,India,Asia-Pacific,1,30.9,34,8.1,31554,4457.8,7.2,3694,8.6,1206.9,68.1,9.8
75,Indonesia,Asia-Pacific,1,30,25,5.9,18906,1124.6,6.5,4666,5.4,241.0,25,6.6
82,Japan,Asia-Pacific,1,40,25.5,-0.2,-1758.3,4440.4,-0.7,34740,-0.3,127.8,229.8,4.2
84,Kazakhstan,Asia-Pacific,1,10,20,5.6,12910.5,216.8,7.5,13001,8.3,16.7,10.9,5.4
90,Kyrgyz Republic,Asia-Pacific,1,10,10,4.8,693.5,13.1,5.7,2372,16.6,5.5,52.4,8.6
91,Laos,Asia-Pacific,1,25,35,7.9,450,17.4,8.3,2659,8.7,6.6,57.4,2.5
100,Macau,Asia-Pacific,1,12,39,0,4365,28.7,26.4,48923,5.8,0.6,0,2.9
104,Malaysia,Asia-Pacific,1,26,25,4.3,11966,447.3,5.1,15568,3.2,28.7,52.6,3.1
113,Mongolia,Asia-Pacific,1,10,25,8.1,4714.6,13.3,17.3,4744,9.5,2.8,41.3,9.9
118,Nepal,Asia-Pacific,1,25,25,4.4,95.5,37.8,3.5,1328,9.6,28.5,34.1,46.0
120,New Zealand,Asia-Pacific,1,33,28,0.7,3369.2,122.2,1.4,27668,4,4.4,37,6.6
87,North Korea,Asia-Pacific,1,9999,9999,0,55,9999,9999.0,9999,9999,24.5,9999,9999.0
126,Pakistan,Asia-Pacific,1,25,35,3.7,1327,488.6,2.4,2787,13.7,175.3,60.1,5.6
128,Papua New Guinea,Asia-Pacific,1,42,30,7.3,-309.2,16.9,8.9,2532,8.4,6.7,25.2,1.9
131,Philippines,Asia-Pacific,1,32,30,4.6,1262,390.4,3.7,4073,4.8,95.9,40.5,7.0
147,Singapore,Asia-Pacific,1,20,17,5.7,64003.2,314.9,4.9,59711,5.2,5.3,100.8,2.0
88,South Korea,Asia-Pacific,1,38.5,24.2,3.5,4660.9,1554.1,3.6,31714,4,49.0,34.1,3.4
153,Sri Lanka,Asia-Pacific,1,24,28,6.5,300,116.5,8.2,5674,6.7,20.5,78.5,4.2
160,Taiwan,Asia-Pacific,1,40,17,3.8,-1962,876,4.0,37720,1.4,23.2,40.8,4.4
161,Tajikistan,Asia-Pacific,1,13,15,6.6,11.1,16.2,7.4,2067,12.4,7.8,35.3,2.2
163,Thailand,Asia-Pacific,1,37,23,2.6,9572,602.1,0.1,9396,3.8,64.1,41.7,0.7
170,Turkmenistan,Asia-Pacific,1,10,8,11.1,3186,43.4,14.7,7846,5.8,5.5,15.4,9999.0
177,Uzbekistan,Asia-Pacific,1,22,9,8.7,1403,95.2,8.3,3302,12.8,28.8,9.1,1.0
180,Vietnam,Asia-Pacific,1,35,25,6.5,7430,300,5.9,3359,18.7,89.3,38,2.3
2,Albania,Europe,2,10,10,4.4,1031.4,24.9,2.0,7741,3.4,3.2,58.9,13.5
6,Armenia,Europe,2,20,20,2.2,524.6,17.9,4.4,5384,7.7,3.3,35.1,5.9
8,Austria,Europe,2,50,25,1.3,14127.9,352,3.1,41822,3.6,8.4,72.2,4.5
14,Belarus,Europe,2,12,18,6.4,3985.8,141.8,5.3,15028,53.2,9.4,50.2,9999.0
15,Belgium,Europe,2,50,33,1,89142.4,413.3,1.9,37737,3.5,11.0,98.5,7.4
23,Bulgaria,Europe,2,10,10,1.7,1864.5,101,1.7,13597,3.4,7.4,17,9.6
