CountryID,Country_Name,Region,World_Rank,Region_Rank,2013_Score,Property_Rights,Freedom_from_Corruption,Fiscal_Freedom_,Govt_Spending,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Population_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
2,Albania,Europe,58,27,65.2,30,31,92.6,75.1,81,49,78.4,79.8,65,70,3.2,24.9,2,4.4,7741,13.5,3.4,1031.4,58.9
3,Algeria,Middle East / North Africa,145,14,49.6,30,29,80.4,44.1,65.2,52.6,76.6,67.8,20,30,36,263.7,2.5,2.7,7333,10,4.5,2571,9.9
4,Angola,Sub-Saharan Africa,158,40,47.3,15,20,82.6,60.6,43.1,44.8,61.5,70.2,35,40,19.6,115.7,3.4,8.8,5895,N/A,13.5,-5585.5,30.9
5,Argentina,South and Central America / Caribbean,160,27,46.7,15,30,64.3,52.1,60.1,47.4,60.4,67.6,40,30,40.9,716.4,8.9,6.8,17516,7.2,9.8,7243.1,44.2
6,Armenia,Europe,38,17,69.4,30,26,88,82.1,87.6,77.1,73,85.4,75,70,3.3,17.9,4.4,2.2,5384,5.9,7.7,524.6,35.1
7,Australia,Asia-Pacific,3,3,82.6,90,88,66.4,62.8,95.5,83.5,83.8,86.2,80,90,22.7,914.5,2,2.6,40234,5.1,3.4,41316.7,22.9
8,Austria,Europe,25,14,71.8,90,78,51.1,23.5,73.6,80.4,79.3,86.8,85,70,8.4,352,3.1,1.3,41822,4.5,3.6,14127.9,72.2
9,Azerbaijan,Asia-Pacific,88,14,59.7,25,24,85.5,67.8,69.2,79.4,73.5,77.2,55,40,9.1,93.1,0.1,9.7,10202,1,7.9,1465,10.2
10,"Bahamas, The",South and Central America / Caribbean,35,3,70.1,70,73,97,84.9,71.3,81.6,75.8,47,30,70,0.3,10.8,2,-0.5,30959,13.7,2.5,1533.3,48.6
11,Bahrain,Middle East / North Africa,12,1,75.5,55,51,99.9,72.4,75.8,90.4,72.5,82.8,75,80,1.1,31.1,1.8,4.8,27556,4,1,780.9,36.5
12,Bangladesh,Asia-Pacific,132,28,52.6,20,27,72.7,92.1,68,51.9,65.4,54,55,20,166.7,282.2,6.1,6.1,1693,5,10.7,1136.4,42.9
13,Barbados,South and Central America / Caribbean,39,6,69.3,80,78,74.5,54.2,74.8,84.4,72.1,60.5,55,60,0.3,6.5,0.5,0,23417,11.2,9.4,333.6,117.3
14,Belarus,Europe,154,42,48,20,24,88.8,43.5,75.2,76.9,40.7,80.8,20,10,9.4,141.8,5.3,6.4,15028,N/A,53.2,3985.8,50.2
15,Belgium,Europe,40,18,69.2,80,75,45,14.5,91.6,69.8,79.3,86.8,80,70,11,413.3,1.9,1,37737,7.4,3.5,89142.4,98.5
16,Belize,South and Central America / Caribbean,102,20,57.3,30,0,82.2,72.6,72.6,71.4,77.3,77.2,40,50,0.3,2.8,2.5,2,8264,13.1,1.9,93.8,80.3
17,Benin,Sub-Saharan Africa,101,15,57.6,30,30,76.1,86.1,45.4,49.7,79.9,59.3,70,50,9.9,14.7,3.1,3.6,1481,N/A,2.7,118.5,31.3
18,Bhutan,Asia-Pacific,122,25,55,60,57,82.7,38.8,60.5,84.4,67.3,49.5,20,30,0.7,4.3,5.9,9.1,6112,4,8.6,13.9,82
19,Bolivia,South and Central America / Caribbean,156,25,47.9,10,28,88.8,64.1,55.8,30.8,67.4,74.3,10,50,10.6,50.9,5.1,4.8,4789,5.8,9.9,858.9,32.9
20,Bosnia and Herzegovina,Europe,103,38,57.3,20,32,83.2,26.9,54.3,61.2,79,86.4,70,60,3.9,31.6,1.7,2.2,8133,43.3,3.7,435.1,40.6
21,Botswana,Sub-Saharan Africa,30,2,70.6,70,61,79.5,65.1,69,69.8,72,79.7,70,70,1.9,29.7,4.6,2.8,16030,7.5,8.5,587.1,17.3
22,Brazil,South and Central America / Caribbean,100,19,57.7,50,38,70.3,54.8,53,57.2,74.4,69.7,50,60,194.9,2294.2,2.7,4.2,11769,6,6.6,66660.1,66.2
23,Bulgaria,Europe,60,29,65,30,33,94,64.2,73.6,74.8,78.6,86.8,55,60,7.4,101,1.7,1.7,13597,9.6,3.4,1864.5,17
24,Burkina Faso,Sub-Saharan Africa,86,10,59.9,30,30,81.4,82,61.2,56.4,80.6,72.5,55,50,15,22,5.6,5.1,1466,N/A,2.8,7.4,29.4
25,Burma,Asia-Pacific,172,40,39.2,10,15,81.9,96.8,20,20,65.1,73.6,0,10,62.4,82.7,5.5,6.3,1325,5.5,4.2,850,44.3
26,Burundi,Sub-Saharan Africa,148,34,49,20,19,71.5,22.6,58.4,66.4,68.7,78.9,55,30,8.4,5.2,4.2,4.3,615,N/A,14.9,1.7,35.3
27,Cambodia,Asia-Pacific,95,16,58.5,30,21,90.9,88.4,39.4,54.2,81.3,70.2,60,50,15.1,33.5,6.1,5.8,2216,3.5,5.5,891.7,28.6
28,Cameroon,Sub-Saharan Africa,133,27,52.3,30,25,69.3,87.1,46.8,55.5,69.9,54.9,35,50,20.9,47.3,4.1,3,2257,N/A,2.9,360,12.9
29,Canada,North America,6,1,79.4,90,87,79.8,44.8,91.7,82.3,75.2,88.2,75,80,34.4,1396.1,2.5,1.1,40541,7.4,2.9,40931.5,85
30,Cape Verde,Sub-Saharan Africa,65,4,63.7,70,55,77.9,65.4,58.9,40.3,78,66.9,65,60,0.5,2.1,5,5.8,3947,10.7,4.5,93.1,77.6
