date,type,wavg_score
2015/02/01,adt,965.9576059172124
2015/02/01,alc,985.0396837796435
2015/02/01,arf,964.3587555154508
2015/02/01,dlm,995.4535512295718
2015/02/01,dlmplus,996.3862762865974
2015/02/01,drg,979.000281214827
2015/02/01,fel,926.0341384556692
2015/02/01,hat,989.1537269192157
2015/02/01,off,995.2863794019324
2015/02/01,par,940.1506001359643
2015/02/01,pol,959.7422974514747
2015/02/01,pro,819.5147341445
2015/02/01,rsa,917.9694684569082
2015/02/01,sam,933.8193551842121
2015/02/01,trq,498.9320165365849
2015/02/01,zult,985.9083509034264
2015/02/02,adt,837.6014952888114
2015/02/02,alc,984.4218735621552
2015/02/02,arf,970.157167203198
2015/02/02,dlm,995.5392472623506
2015/02/02,dlmplus,996.2058295757789
2015/02/02,drg,977.1113232723189
2015/02/02,fel,923.6041530105662
2015/02/02,hat,988.0077636888843
2015/02/02,off,995.8941060090217
2015/02/02,par,942.1591003980964
2015/02/02,pol,957.5996113868182
2015/02/02,pro,846.1307844245384
2015/02/02,rsa,937.6819106096249
2015/02/02,sam,944.3756564595371
2015/02/02,trq,523.1884721884554
2015/02/02,zult,988.7432761851195
2015/02/03,adt,962.8408413030767
2015/02/03,alc,982.5663889612523
2015/02/03,arf,969.9400635147741
2015/02/03,dlm,996.1745818237031
2015/02/03,dlmplus,996.8123535537657
2015/02/03,drg,978.4919291850722
2015/02/03,fel,920.6729080692006
2015/02/03,hat,988.4122050729469
2015/02/03,off,995.7335329341322
2015/02/03,par,938.9799044553579
2015/02/03,pol,955.2517780313966
2015/02/03,pro,845.3147713294737
2015/02/03,rsa,925.7136456136298
2015/02/03,sam,928.7284323216343
2015/02/03,trq,523.6763270230443
2015/02/03,zult,987.5435078692786
2015/02/04,adt,963.0000603694359
2015/02/04,alc,981.8086279374509
2015/02/04,arf,968.6117341518164
2015/02/04,dlm,995.870948475868
2015/02/04,dlmplus,996.8018514689969
2015/02/04,drg,977.8570280017769
2015/02/04,fel,923.2901710991313
2015/02/04,hat,988.7027793990424
2015/02/04,off,995.6119495555122
2015/02/04,par,901.6878583756713
2015/02/04,pol,955.6403431281784
2015/02/04,pro,839.7025846808052
2015/02/04,rsa,938.9844389843756
2015/02/04,sam,931.9951290022342
2015/02/04,trq,515.5057537859274
2015/02/04,zult,986.930136175221
2015/02/05,adt,964.8708538884505
2015/02/05,alc,983.7660152400206
2015/02/05,arf,964.326798345429
2015/02/05,dlm,995.3415701168207
2015/02/05,dlmplus,996.5415494819824
2015/02/05,drg,978.7973846782854
2015/02/05,fel,924.0960046688826
2015/02/05,hat,990.0262730390432
2015/02/05,off,995.3624912862617
2015/02/05,par,939.0401496617468
2015/02/05,pol,954.8664980667455
2015/02/05,pro,824.9426647926923
2015/02/05,rsa,945.5270322831891
2015/02/05,sam,929.986196016533
2015/02/05,trq,585.5001787770847
2015/02/05,zult,987.0463263499711
2015/02/06,adt,967.272793414607
2015/02/06,alc,985.6760809797541
2015/02/06,arf,968.9196302478063
2015/02/06,dlm,995.1312171957059
2015/02/06,dlmplus,996.3046738315438
2015/02/06,drg,979.3514121469965
2015/02/06,fel,924.8177861011256
2015/02/06,hat,990.4284734205187
2015/02/06,off,996.3890277430702
2015/02/06,par,940.9370388587918
2015/02/06,pol,958.1502758515626
2015/02/06,pro,821.6347024873787
2015/02/06,rsa,944.3187328269055
2015/02/06,sam,928.0780796243159
2015/02/06,trq,597.1992539631747
2015/02/06,zult,988.3686297064716
2015/02/07,adt,966.6531476997924
2015/02/07,alc,986.266416778735
2015/02/07,arf,967.1805678793429
2015/02/07,dlm,993.761087267517
2015/02/07,dlmplus,994.8868351025753
2015/02/07,drg,981.5245071389936
2015/02/07,fel,927.8646965087141
2015/02/07,hat,966.5560909465094
2015/02/07,off,996.1844401842656
2015/02/07,par,800.0
2015/02/07,pol,959.366670529583
2015/02/07,pro,802.2437143112603
2015/02/07,rsa,924.3070111396303
2015/02/07,sam,918.1054336091727
2015/02/07,trq,777.7223482838028
2015/02/07,zult,981.5454697625427
2015/02/08,adt,966.7260081082915
2015/02/08,alc,987.7577882333067
2015/02/08,arf,967.9817069610026
2015/02/08,dlm,994.0581250187042
2015/02/08,dlmplus,900.2961876471363
2015/02/08,drg,983.4278615550393
2015/02/08,fel,930.8006613089854
2015/02/08,hat,990.5545732392673
2015/02/08,off,995.813626502879
2015/02/08,par,816.6666666665933
2015/02/08,pol,962.7393709414637
2015/02/08,pro,823.4869567122367
2015/02/08,rsa,934.2809858739066
2015/02/08,sam,925.493263418271
2015/02/08,trq,600.327495713745
2015/02/08,zult,984.1666803265001
2015/02/09,adt,964.5511595524601
2015/02/09,alc,833.5860645843651
2015/02/09,arf,969.5161470719587
2015/02/09,dlm,995.3002589392974
2015/02/09,dlmplus,996.1404352055816
2015/02/09,drg,980.9069974637487
2015/02/09,fel,923.0864194840326
2015/02/09,hat,988.4837329839155
2015/02/09,off,996.2285258551917
2015/02/09,par,803.3333333333889
2015/02/09,pol,960.9226040870592
2015/02/09,pro,846.5175679318098
2015/02/09,rsa,952.3655081758094
2015/02/09,sam,942.4159268611583
2015/02/09,trq,610.191125334263
2015/02/09,zult,987.3868371136025
2015/02/10,adt,963.5356941020619
2015/02/10,alc,986.6577257272423
2015/02/10,arf,968.3013275056255
2015/02/10,dlm,995.1455346065894
2015/02/10,dlmplus,995.9822865492905
2015/02/10,drg,980.9916131469687
2015/02/10,fel,923.1965482230285
2015/02/10,hat,988.7143272204269
2015/02/10,off,996.0760802056393
2015/02/10,par,816.25
2015/02/10,pol,957.9260488756693
2015/02/10,pro,843.1072350820651
2015/02/10,rsa,952.6743912125237
2015/02/10,sam,944.7966331635822
2015/02/10,trq,611.3049511204159
2015/02/10,zult,986.52894172675
2015/02/11,adt,963.9761444637629
2015/02/11,alc,986.3681155810576
2015/02/11,arf,965.0345300285062
2015/02/11,dlm,995.0202583922486
2015/02/11,dlmplus,995.8593685515314
2015/02/11,drg,981.5099056856781
2015/02/11,fel,925.3441255519463
2015/02/11,hat,988.8567706419288
2015/02/11,off,995.4277524280915
2015/02/11,par,770.1030927835111
2015/02/11,pol,958.041680214891
2015/02/11,pro,841.2308049876546
2015/02/11,rsa,951.2270952661902
2015/02/11,sam,949.2127691833241
2015/02/11,trq,611.6750102995236
2015/02/11,zult,987.0734203945001
2015/02/12,adt,963.109614176772
2015/02/12,alc,986.2897758750564
2015/02/12,arf,964.8517199955098
2015/02/12,dlm,994.3532629516201
2015/02/12,dlmplus,995.5463181206446
2015/02/12,drg,981.2147423709379
2015/02/12,fel,925.2612261307976
2015/02/12,hat,988.72353776483
2015/02/12,off,994.7594398941574
2015/02/12,par,799.3506493505694
2015/02/12,pol,958.6758346194258
2015/02/12,pro,843.463353848606
2015/02/12,rsa,949.4275208263798
2015/02/12,sam,949.5606966027518
2015/02/12,trq,609.2613601875396
2015/02/12,zult,987.4568068126025
2015/02/13,adt,964.1148382191764
2015/02/13,alc,986.1703840653249
2015/02/13,arf,966.5724763437404
2015/02/13,dlm,994.491442932879
2015/02/13,dlmplus,995.7262974223555
2015/02/13,drg,980.9110225005137
2015/02/13,fel,927.8882363921578
2015/02/13,hat,988.9024175236135
2015/02/13,off,994.7433465224492
2015/02/13,par,947.0761710775416
2015/02/13,pol,958.95196247779
2015/02/13,pro,841.435949589605
2015/02/13,rsa,946.4246612299053
2015/02/13,sam,947.1549172374645
2015/02/13,trq,607.1435115780797
2015/02/13,zult,987.0028276477052
2015/02/14,adt,967.4718428601834
2015/02/14,alc,987.9319708211331
2015/02/14,arf,968.2563364117038
2015/02/14,dlm,993.5088646186044
2015/02/14,dlmplus,994.789708819607
2015/02/14,drg,983.6566095065257
2015/02/14,fel,932.8534927224985
2015/02/14,hat,990.8828952593462
2015/02/14,off,994.6436830790605
2015/02/14,par,946.6520215012588
2015/02/14,pol,962.1228340487625
2015/02/14,pro,829.691676093126
2015/02/14,rsa,939.770044604376
2015/02/14,sam,941.5910288170957
2015/02/14,trq,597.5533709717675
2015/02/14,zult,984.5138520311469
2015/02/15,adt,967.0531999036928
2015/02/15,alc,988.1596559850005
2015/02/15,arf,970.1111454177827
2015/02/15,dlm,993.8218015404241
2015/02/15,dlmplus,994.9472203520238
2015/02/15,drg,983.6297510459614
2015/02/15,fel,931.3768895945376
2015/02/15,hat,990.5447957377095
2015/02/15,off,994.8316394414989
2015/02/15,par,947.207630878384
2015/02/15,pol,961.724843328893
2015/02/15,pro,840.064723585004
2015/02/15,rsa,944.078338775
2015/02/15,sam,946.2571308650544
2015/02/15,trq,603.4336884715023
2015/02/15,zult,982.335838830927
2015/02/16,adt,957.3852736327862
2015/02/16,alc,988.0750712364182
2015/02/16,arf,971.2115602358949
2015/02/16,dlm,994.9248518633551
2015/02/16,dlmplus,995.7858146531877
2015/02/16,drg,976.8107412771941
2015/02/16,fel,922.4892284685287
2015/02/16,hat,989.9080355075447
2015/02/16,off,995.0089627626893
2015/02/16,par,944.2696182670041
2015/02/16,pol,960.8930529089953
2015/02/16,pro,850.1556904765699
2015/02/16,rsa,955.170297109191
2015/02/16,sam,946.8642662011061
2015/02/16,trq,615.387859182869
2015/02/16,zult,985.7828869433529
2015/02/17,adt,964.604716971278
2015/02/17,alc,986.8425920279753
2015/02/17,arf,965.5351268210178
2015/02/17,dlm,994.151570543347
2015/02/17,dlmplus,995.0624833154234
2015/02/17,drg,981.6250472588515
2015/02/17,fel,927.5563837986084
2015/02/17,hat,989.4474609234117
2015/02/17,off,995.1160028511189
2015/02/17,par,943.2137388172665
2015/02/17,pol,959.0117321390989
2015/02/17,pro,847.8880220170903
2015/02/17,rsa,952.0247803876192
2015/02/17,sam,942.1955719768634
2015/02/17,trq,610.6645553235086
2015/02/17,zult,986.5706783869708
2015/02/18,adt,966.6645994308551
2015/02/18,alc,988.0496795489311
2015/02/18,arf,966.9458218272256
2015/02/18,dlm,994.8302666339572
2015/02/18,dlmplus,995.7114417636916
2015/02/18,drg,982.9318383231284
2015/02/18,fel,930.4679358156897
2015/02/18,hat,990.514233016778
2015/02/18,off,995.2976213411389
2015/02/18,par,951.8241919687046
2015/02/18,pol,960.4380881628141
2015/02/18,pro,858.365864015285
2015/02/18,rsa,955.7687786879045
2015/02/18,sam,951.7585326159935
2015/02/18,trq,619.3422354595962
2015/02/18,zult,985.224224909647
2015/02/19,adt,966.3109285971912
2015/02/19,alc,987.6197576556135
2015/02/19,arf,963.4217887292898
2015/02/19,dlm,994.5981709075303
2015/02/19,dlmplus,995.8687535192431
2015/02/19,drg,982.5967354848925
2015/02/19,fel,926.8001016639097
2015/02/19,hat,990.2582500955713
2015/02/19,off,995.4389929559907
2015/02/19,par,947.261878271952
2015/02/19,pol,958.0144017817124
2015/02/19,pro,861.4983354186004
2015/02/19,rsa,954.9980780142865
2015/02/19,sam,954.2282386342299
2015/02/19,trq,616.4505863565258
2015/02/19,zult,986.6181761301318
